Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get £100 if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
,,,,,,,,,,,,,,,
04/05/2018 11:22,QRM,no,0,mu,nee,male,neither,10/12/1994,49000,no,0.05,7,01:00,Productive,Good sleep
04/05/2018 11:23,CS,no,0,unknown,ja,male,I have no idea what you are talking about,06/08/1993,100,yes,The formmer,394749,01:00,got a 8.5,got 2 8.5s
04/05/2018 11:23,BA,yes,1,sigma,ja,male,neither,25-Dec-92,5,no,Not enough,6,23:00,Food,Sport
04/05/2018 11:23,BA,yes,1,mu,ja,male,I have no idea what you are talking about,01/02/1995,2,no,0,8,00:03,-,-
04/05/2018 11:23,CS,no,0,sigma,ja,male,I have no idea what you are talking about,09.01.1994,6,no,0,8,00:00,sleep,beer
04/05/2018 11:24,Drug discovery and safety,no,0,mu,nee,male,fat,17/08/1994,4,no,100,No,09:00,Chocolate,Doing nothing 
04/05/2018 11:25,CS,yes,1,mu,nee,male,neither,27/09/1993,5,no,£1,6739,23:00,Chocolate,More chocolate
04/05/2018 11:25,CS,no,0,mu,ja,male,fat,14-May-94,5,yes,0.25,3,12:00,Sunshine,Friends
04/05/2018 11:25,Economtrics,no,0,mu,nee,male,neither,11/04/1931,2,no,"0,25 pond",78952097,01:00,Sun,Rain
04/05/2018 11:25,Bioinformatics,yes,1,unknown,ja,male,slim,19/08/1993,7,no,0.3,5,02:00,Free time,More free time
04/05/2018 11:25,Econometrics,no,0,mu,nee,female,I have no idea what you are talking about,16/05/1990,8,yes,0.003,8,00:00,Good coffee,Sunshine
04/05/2018 11:26,CS,no,0,mu,ja,female,slim,30/03/1995,6,no,1,42,23:45,Cats,Coffee
04/05/2018 11:26,Bioinformatics ,yes,0,mu,nee,female,fat,Oct-16,8,no,2,37,00:03,Sunny weather ,Good food 
04/05/2018 11:26,AI,yes,1,sigma,ja,male,I have no idea what you are talking about,this year,6,no,more,7727528,01:00,Good grades,All grades
04/05/2018 11:26,EOR,yes,0,mu,nee,male,I have no idea what you are talking about,02-Apr,2,no,99,187,20:00,Food,Wine
04/05/2018 11:26,Bioinformatics,no,0,mu,nee,female,fat,05/02/1994,1,no,0.25,7,23:30,Pancakes for breakfast,No wind
04/05/2018 11:26,BA,yes,1,mu,ja,female,I have no idea what you are talking about,22-Jan,1,yes,100,7,01:30,Sleep,Netflix
04/05/2018 11:26,BA,yes,1,mu,ja,male,fat,07/10/1994,3,no,80,6,01:00,Sleep,Relax
04/05/2018 11:26,AI,yes,1,mu,ja,female,fat,23/02/1995,2,no,"0,50",34,23:30,Good sleep,Go to the gym
04/05/2018 11:26,CS,no,0,mu,ja,male,neither,24/03/1994,1,no,1,7,23:30,Pizza,Beer
04/05/2018 11:27,Computational Science,no,0,mu,nee,male,I have no idea what you are talking about,04/01/1996,7,unknown,100/N,6.28E+36,23:59,Pancakes,Pizza
04/05/2018 11:27,CS,yes,0,mu,ja,male,I have no idea what you are talking about,07/12/1995,2,no,£200,2,23:20,Good foodd,Lot of foodd
04/05/2018 11:27,AI,yes,1,mu,nee,male,I have no idea what you are talking about,04.11.1992,1,no,70,2,02:00,sex,good food
04/05/2018 11:27,AI,no,0,mu,nee,female,I have no idea what you are talking about,05/11/1993,5,no,",50",6,23:30,Puppies,sunshine
04/05/2018 11:27,Computational Science,no,0,mu,nee,female,neither,03-Nov,8,no,0.25,7,23:30,Nice grades,Good food
04/05/2018 11:27,CS ,no,0,mu,ja,male,fat,21/09/1994,8,unknown,10,4,01:30,Coffee,Good night sleep
04/05/2018 11:27,BA,yes,1,mu,nee,male,slim,19-Oct,2,no,110,Hoi,23:30,Cheese,Beer
04/05/2018 11:27,BA,yes,1,mu,nee,female,fat,14-Apr,2,no,10,9,22:20,Coffee,Food
04/05/2018 11:27,AI,yes,1,mu,ja,male,fat,23-Dec,5,no,1234,4,23:30,Food,Coffee
04/05/2018 11:27,Econometrics,no,0,mu,nee,female,fat,29/10/1991,1,no,01-Apr,3,01:20,Good food,Lovely people
04/05/2018 11:27,Computational Science,no,0,mu,ja,male,fat,07/11/1991,7,no,110,9.29375E+12,23:55,Sunshine,Beer
04/05/2018 11:27,BA,yes,1,mu,ja,male,I have no idea what you are talking about,15-Feb,4,no,100,5,01:00,Sun,Sun
04/05/2018 11:27,BA,yes,1,mu,ja,female,I have no idea what you are talking about,03-Oct,0,no,25,3,23:00,Sun,Friends
04/05/2018 11:27,AI,yes,1,mu,ja,female,I have no idea what you are talking about,14-Jan,3,no,0.3,347,02:00,Nice weather ,Music
04/05/2018 11:27,BA,no,0,mu,nee,male,neither,21/05/1995,7,no,0.25€,19,00:00,Good food,No alarm
04/05/2018 11:27,CS,yes,1,mu,ja,male,neither,09-Nov-92,1,no,1,9,01:00,Sun,Freedom
04/05/2018 11:27,BA,yes,1,mu,ja,male,fat,1995,0,no,0,1,01:00,Good food ,Good sex 
04/05/2018 11:27,AI,no,1,mu,ja,female,fat,10/01/1995,5,no,100,2,01:00,good food,enough sleep
04/05/2018 11:27,AI,yes,1,mu,ja,male,I have no idea what you are talking about,23-14-2030,6.5,no,3,11,01:00,No homework,A blunt
04/05/2018 11:27,AI,yes,1,mu,nee,female,neither,20-Aug,a lot,no,5,2,01:15,Good weather,No school 
04/05/2018 11:27,AI,yes,0,mu,nee,male,I have no idea what you are talking about,May,1,no,0,2,01:00,Snow,Storm
04/05/2018 11:27,AI,yes,1,mu,ja,male,I have no idea what you are talking about,13/06/1993,420,no,99.99,9,01:00,Fun,Relaxation
04/05/2018 11:27,AI,yes,1,mu,nee,male,I have no idea what you are talking about,29/01/1996,2,no,6,5,02:00,Jezus man,Te diep
04/05/2018 11:27,Bioinformatics,yes,0,mu,ja,unknown,fat,X,2,no,1,9,22:00,Energy,Smiles
04/05/2018 11:27,AI,yes,0,mu,nee,male,neither,15/05/1994,5,no,10,32,12:40,Food,Sports
04/05/2018 11:27,BA,yes,1,mu,ja,male,I have no idea what you are talking about,27/12/1994,400,no,7,5,23:00,beer,sex
04/05/2018 11:27,BA,yes,1,mu,ja,male,fat,10/08/1995,400,no,0.25,4,23:55,Beer,Good food
04/05/2018 11:27,BA,yes,1,mu,ja,female,fat,25/05/1995,1,no,50,8,23:00,Sun,Free time
04/05/2018 11:27,Bioinformatics,yes,0,mu,nee,female,fat,16/01/1996,0,no,100,4578994211,23:00,cats,coffee
04/05/2018 11:27,BA,yes,1,mu,ja,male,fat,16/10/1994,7,no,100 pound,33,23:15,Sex,Gaming
04/05/2018 11:27,Exchange,yes,1,mu,ja,male,fat,28,8,no,1,7,01:00,Weather,Beer
04/05/2018 11:27,BA,yes,1,mu,ja,male,neither,13/12/1994,4,no,42,7,00:00,Laughing,Sun shining
04/05/2018 11:27,EOR,no,0,mu,nee,female,fat,04-Apr,7,no,0,4,11:50,Sun,Sea
04/05/2018 11:27,CS,no,0,mu,ja,male,neither,15/07/1996,10,no,1,6,01:00,People miding their own business,Nice weather
04/05/2018 11:27,AI,yes,0,mu,ja,male,I have no idea what you are talking about,30/01/1995,"Either 4 or 8, depends on how you count. Also 1 under and above me.",no,0.001,9,23:00,Coffee,Pizza
04/05/2018 11:27,EOR,no,0,mu,nee,male,neither,22/08/1995,4,no,100,3,23:30,Sun ,Food
04/05/2018 11:27,QRM,no,0,mu,nee,male,fat,17/10/1992,1,no,25c,7,00:30,No assigments,Freedom
04/05/2018 11:27,BA,yes,1,mu,ja,male,slim,28-Nov-18,8,no,0.999998789,8,01:00,Music,Food
04/05/2018 11:27,QRM,no,0,mu,nee,male,neither,17/03/1994,2,no,0.3,6,00:15,Saturday,Sunday
04/05/2018 11:27,BA,yes,1,mu,ja,female,fat,30/04/1994,6,no,25,8,23:15,Chocolate,Sun
04/05/2018 11:27,AI,yes,1,mu,ja,male,neither,16-Jan,430,no,25,7,23:00,-,-
04/05/2018 11:27,Computational Science ,yes,0,mu,ja,female,fat,20-Jan,3,no,0.05,1,01:00,Enough sleep,Exercise
04/05/2018 11:27,BA,yes,1,sigma,ja,unknown,fat,20/11/1995,2,yes,90,8,00:00,Wake up time,Chocolate
04/05/2018 11:27,BA,yes,1,mu,ja,male,fat,09/03/1996,7,no,1,8,23:05,Coffee,Wake-up time
04/05/2018 11:27,AI,no,1,mu,ja,male,I have no idea what you are talking about,In about two months,2,no,25,18,01:00,Sunny day,No school
04/05/2018 11:27,Econometrics ,no,0,mu,nee,male,fat,22/11/1991,3,no,2,2,02:00,Freedom,Money
04/05/2018 11:27,AI,yes,1,mu,ja,male,fat,23-Jan,9,no,101,No,01:00,Not coming to VU,Sushi
04/05/2018 11:27,Bioinformatics,yes,1,mu,ja,male,unknown,09/12/1994,2,no,0.3,1,02:00,Work,Food
04/05/2018 11:27,AI,yes,0,mu,ja,female,I have no idea what you are talking about,10/09/1995,2,no,1,7,22:00,nice weather,coffee
04/05/2018 11:27,Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,21-Dec,5,no,1,0,21:00,Fox news,sleep
04/05/2018 11:27,AI,no,1,mu,unknown,female,I have no idea what you are talking about,28-Jan,1,no,1,7,23:03,sunny weather,pizza
04/05/2018 11:27,Comoputational science,no,unknown,sigma,nee,female,fat,02-Jul,7,no,0.1,3,23:00,Sun,Not studying
04/05/2018 11:27,AI,no,0,sigma,ja,male,I have no idea what you are talking about,30.12.1991,4,no,100,5,23:59,Fun fun fun,A good day
04/05/2018 11:27,Computational science,no,0,mu,ja,female,slim,05/08/1995,7,no,10,7,01:30,No rain,Food
04/05/2018 11:27,BA,yes,0,mu,ja,female,fat,27/09/1992,6,no,2,7,22:10,nice food,a lot of fun 
04/05/2018 11:27,Computational science,no,0,mu,nee,female,slim,08.08.1993,1,no,50€ ?:),1,00:30,Kind people around me ,Coffee
04/05/2018 11:27,AI,no,0,sigma,nee,female,neither,10.03.1995,1,no,10,9,01:00,sunshine,good coffee 
04/05/2018 11:27,AI,no,0,mu,ja,male,I have no idea what you are talking about,02/09/1990,4,no,5,7,01:15,Bunnies,Good weather
04/05/2018 11:27,AI,no,0,mu,ja,female,I have no idea what you are talking about,11-Nov,1,no,0.75,8,23:15,Laughs,No stress
04/05/2018 11:27,Econometrics,no,1,mu,nee,male,fat,31/08/1994,1,no,100,8,12:00,Sun,Lunch
04/05/2018 11:27,MS,unknown,0,mu,nee,male,neither,05/02/1988,8,no,50,3,23:58,A productive day,A day with company
04/05/2018 11:27,BA,yes,1,mu,ja,male,neither,19-Apr,7,no,0.456,4,01:12,Food,Good grades
04/05/2018 11:27,Bioinformatics,no,0,sigma,ja,female,fat,05/10/1987,7,no,1,13,01:30,sunshine,beer
04/05/2018 11:27,Master Human Movement Science,no,0,mu,nee,female,I have no idea what you are talking about,28/05/1992,1,no,0.4,8,00:30,Coffee,Sunshine
04/05/2018 11:27,BA,yes,0,mu,nee,male,fat,29-Jul,1,no,1,3,23:30,Sun,Good food
04/05/2018 11:27,BA,yes,1,mu,ja,male,I have no idea what you are talking about,27-Mar,1,no,100,4,04:00,Sex,No worries
04/05/2018 11:27,Finance,no,0,mu,ja,male,fat,03/04/1994,5,no,1,5,01:00,Some food,Netflix
04/05/2018 11:27,BA,yes,1,mu,ja,male,fat,07/05/1994,6,no,0.25,9,00:30,Food,Sleep
04/05/2018 11:27,QRM,no,0,mu,nee,male,fat,28-Jun,5,no,5,7,00:30,Nice weather,Winning the lotery
04/05/2018 11:27,AI,yes,1,mu,ja,female,neither,27/06/1995,9,no,0.25,5,01:00,Food,Sleep
04/05/2018 11:27,PhD,yes,0,mu,ja,male,fat,02/09/1990,2,no,0.25,3,23:00,Sex,Video games
04/05/2018 11:27,Bioinformatics,yes,0,sigma,ja,female,neither,25/12/1994,300,no,20,1,00:00,Sun,Free time
04/05/2018 11:27,PhD,no,0,mu,nee,female,fat,March 30th,0,no,1,6,10:30,sleeping well,sunshine
04/05/2018 11:27,Bioinformatics,yes,1,mu,ja,female,neither,21/11/1993,280,no,"0,3",1,23:30,chocolate,nice weather
04/05/2018 11:27,Bioinformatics ,yes,0,mu,nee,female,fat,12/04/1994,2,no,0.5,8,12:00,Receiving food,Sun
04/05/2018 11:27,BA,yes,1,mu,ja,male,slim,24/08/1992,7,no,85,3,00:30,Sex,Good sleep
04/05/2018 11:27,CS,no,0,mu,ja,male,slim,07-Nov,6,no,100,2,22:00,Plenty food,Plenty sleep
04/05/2018 11:27,Bioinformatics,no,0,mu,ja,male,slim,05/02/1990,25,no,100,5,02:00,Music,Challenge 
04/05/2018 11:27,Econometrics,yes,1,mu,ja,male,I have no idea what you are talking about,09/09/1994,1,no,100,7,23:30,Mac Donalds,A good sleep
04/05/2018 11:27,CS,yes,0,mu,ja,male,neither,Sep-18,10,no,100,7,02:00,Achieving something,Learning something
04/05/2018 11:27,BA,yes,1,mu,ja,male,I have no idea what you are talking about,17-Aug,1,no,10,2,23:00,Sun,Sleep
04/05/2018 11:27,Econometrics,no,0,mu,nee,female,I have no idea what you are talking about,2 februari,4,no,1,1,22:30,coffee,laughter
04/05/2018 11:27,CS,no,0,mu,ja,male,fat,19th June,5,yes,10,9,02:00,The Sun,No stress
04/05/2018 11:27,AI,yes,0,mu,nee,female,I have no idea what you are talking about,22/12/1993,3,no,1,8,22:45,Sunshine,Coffee
04/05/2018 11:27,CS,yes,1,mu,ja,male,fat,11/06/1993,10,no,40,8,23:00,Good food,A good nice sleep
04/05/2018 11:27,Computational Science,yes,1,mu,nee,male,neither,17/05/1994,6,no,20,7,01:30,Coffee,Finishing some work
04/05/2018 11:27,AI,yes,1,mu,nee,male,neither,15/10/1993,5,no,0.5,8,00:00,"Sun, music, friends, beer",Coffee
04/05/2018 11:27,Bioinformatics,yes,0,sigma,nee,female,slim,20/02/1995,2,no,5,33,12:00,Good sleep,Nice food
